BCC, EMP, OP, EVENT, TIME, PTIME
bc123, 2019010101, op78, start1, 20/08/2019-13:19:33, 10.516066074371338
bc345, 2019878787, op89, start1, 20/08/2019-13:24:05, 13.447096586227417
bc00651767, 201606052, op70, start1, 20/08/2019-13:30:40, 9.575534582138062
bc00651767, 201606052, op70, finish1, 20/08/2019-13:32:09, 9.26677918434143
bc00651767, 201606052, op70, start2, 20/08/2019-13:37:41, 5.127995491027832
bc00651767, 201606052, op70, start1, 20/08/2019-13:39:26, 5.2172691822052
bc00651767, 201606052, op70, finish1, 20/08/2019-13:39:47, 5.218544244766235
bc00651767, 201606052, op80, start1, 20/08/2019-13:41:06, 5.353743076324463
bc00651767, 201606052, op80, finish1, 20/08/2019-13:42:44, 7.543978691101074
bc456, 201606052, op70, start1, 20/08/2019-13:45:55, 6.457767963409424
bc45688978, 201606052, op67, start1, 20/08/2019-13:51:04, 12.475887060165405
